X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-143.241996,12.266094,-90.824812,-0.291945,0.147460,-0.944999,50.00,False
-143.241996,12.266094,-88.228855,-0.291945,0.147460,-0.944999,50.00,False
-143.241996,12.266094,-85.632897,-0.291945,0.147460,-0.944999,50.00,False
-143.732655,12.300948,-82.850642,-0.390077,0.154431,-0.907740,50.00,False
-143.732655,12.300948,-80.254684,-0.390077,0.154431,-0.907740,50.00,False
-144.108577,12.182156,-77.497405,-0.465261,0.130672,-0.875475,50.00,False
-144.108577,12.182156,-74.901447,-0.465261,0.130672,-0.875475,50.00,False
-144.086398,12.542391,-72.248255,-0.460825,0.202719,-0.864028,50.00,False
-144.086398,12.542391,-69.652298,-0.460825,0.202719,-0.864028,50.00,False
-144.449075,12.662679,-66.810811,-0.533361,0.226777,-0.814922,50.00,False
-144.449075,12.662679,-64.214853,-0.533361,0.226777,-0.814922,50.00,False
-145.133202,12.077854,-61.214406,-0.670186,0.109812,-0.734025,50.00,False
-145.133202,12.077854,-58.618449,-0.670186,0.109812,-0.734025,50.00,False
-145.133202,12.077854,-56.022492,-0.670186,0.109812,-0.734025,50.00,False
-145.133202,12.077854,-53.426534,-0.670186,0.109812,-0.734025,50.00,False
-146.059554,12.235580,-49.651499,-0.855457,0.141357,-0.498209,50.00,False
-146.263905,12.631412,-46.487825,-0.896327,0.220524,-0.384666,50.00,False
-146.342851,12.689242,-43.658059,-0.912116,0.232089,-0.337904,50.00,False
-146.593239,11.989789,-40.654015,-0.962194,0.092199,-0.256287,50.00,False
-146.683107,12.470056,-37.086195,-0.980167,0.188252,-0.061914,50.00,False
-146.683107,12.069346,-34.490238,-0.980167,0.188252,-0.061914,50.00,False
-146.441359,12.911199,-31.247948,-0.931817,0.356623,0.067352,50.00,False
-146.339699,12.772640,-27.753725,-0.911485,0.328911,0.247005,50.00,False
-146.193074,12.800151,-24.734779,-0.882160,0.334413,0.331603,50.00,False
-145.839205,13.622549,-24.545883,-0.811387,0.564986,-0.149809,50.00,False
-137.703374,12.635570,-19.249451,0.815780,0.426827,0.390286,50.00,False
-140.676327,13.153460,-17.524329,0.221189,0.950983,0.216118,50.00,False
-143.031290,9.295755,-20.749333,-0.249804,0.196861,-0.948074,50.00,False
-143.579205,9.432247,-17.942338,-0.359387,0.224159,-0.905866,50.00,False
-143.563479,11.258408,-14.442341,-0.356241,0.589391,-0.725058,50.00,False
-143.673120,11.545807,-11.532229,-0.378170,0.646871,-0.662227,50.00,False
-144.352454,11.765722,-8.167215,-0.514036,0.690854,-0.508416,50.00,False
-144.811948,11.997331,-4.524284,-0.605935,0.737176,-0.299021,50.00,False
-144.770063,12.281412,-0.992241,-0.597558,0.793992,-0.111804,50.00,False
-144.547959,12.421977,2.762180,-0.553137,0.824418,0.119888,50.00,False
-144.891902,11.895517,6.308413,-0.621926,0.719127,0.309943,50.00,False
-144.909931,10.756198,10.158139,-0.625532,0.542520,0.560697,50.00,False
-144.471467,10.193131,13.576590,-0.537839,0.429907,0.725196,50.00,False
-143.815698,9.865989,16.725635,-0.406685,0.368813,0.835813,50.00,False
-143.690821,9.873813,19.478121,-0.381710,0.320003,0.867119,50.00,False
-143.427789,9.307406,22.173893,-0.329104,0.323692,0.887082,50.00,False
-145.253891,10.569497,22.490896,-0.694324,0.576110,0.431291,50.00,False
-146.217281,7.099595,25.174586,-0.887002,0.108502,0.448838,50.00,False
-145.638324,9.300687,27.384326,-0.771211,0.516868,0.371594,50.00,False
-146.650099,8.307202,27.527825,-0.973566,0.195022,-0.118898,50.00,False
-146.637991,8.511710,30.543646,-0.971144,0.235923,-0.034925,50.00,False
-146.562599,8.771030,33.593392,-0.956065,0.287787,0.055833,50.00,False
-146.479233,8.911399,36.576777,-0.939392,0.315861,0.133318,50.00,False
-146.443616,8.692926,39.697782,-0.932269,0.272167,0.238328,50.00,False
-146.140488,8.163285,43.320064,-0.871643,0.208479,0.443593,50.00,False
-145.692121,8.243313,46.605505,-0.781970,0.224484,0.581489,50.00,False
-145.692121,8.243313,49.201462,-0.781970,0.224484,0.581489,50.00,False
-145.692121,8.677552,51.797419,-0.781970,0.224484,0.581489,50.00,False
-145.692121,8.243313,54.393377,-0.781970,0.224484,0.581489,50.00,False
-145.394626,8.797816,57.104935,-0.722471,0.335385,0.604609,50.00,False
-145.394626,9.232056,59.700892,-0.722471,0.335385,0.604609,50.00,False
-145.394626,9.232056,62.296850,-0.722471,0.335385,0.604609,50.00,False
-144.735025,9.330731,65.493086,-0.590551,0.355120,0.724665,50.00,False
-144.137038,9.412747,68.466260,-0.470953,0.371523,0.800108,50.00,False
-144.031426,9.286900,71.177775,-0.449831,0.346354,0.823220,50.00,False
-139.769054,8.562599,71.417610,-0.397356,0.288342,0.871187,200.00,True
-139.769054,8.562599,71.417610,-0.397356,0.288342,0.871187,50.00,False
-139.769054,8.562599,68.821653,-0.397356,0.288342,0.871187,50.00,False
-140.031426,9.286900,65.985860,-0.449831,0.346354,0.823220,50.00,False
-140.137038,9.412747,63.274345,-0.470953,0.371523,0.800108,50.00,False
-140.137038,9.412747,60.678387,-0.470953,0.371523,0.800108,50.00,False
-141.394626,9.232056,57.104935,-0.722471,0.335385,0.604609,50.00,False
-141.394626,8.797816,54.508978,-0.722471,0.335385,0.604609,50.00,False
-141.394626,9.232056,51.913020,-0.722471,0.335385,0.604609,50.00,False
-141.394626,9.232056,49.317063,-0.722471,0.335385,0.604609,50.00,False
-141.692121,8.243313,46.605505,-0.781970,0.224484,0.581489,50.00,False
-141.692121,8.243313,44.009547,-0.781970,0.224484,0.581489,50.00,False
-142.219589,8.553743,40.310902,-0.887463,0.286570,0.360952,50.00,False
-142.395297,8.979944,36.912473,-0.922605,0.329570,0.200458,50.00,False
-142.544395,8.833262,33.576276,-0.952425,0.300234,0.052410,50.00,False
-142.484836,9.030864,30.726289,-0.940513,0.339754,0.001604,50.00,False
-142.515573,8.722427,27.308167,-0.946660,0.278067,-0.162829,50.00,False
-142.453390,8.724535,24.412011,-0.934224,0.278488,-0.222869,50.00,False
-141.740132,9.241838,24.650062,-0.791572,0.505098,0.343933,50.00,False
-140.362082,11.051780,21.666011,-0.515962,0.814162,0.266314,50.00,False
-138.893966,9.373375,22.313069,-0.222339,0.336885,0.914917,50.00,False
-138.594217,10.431363,19.579377,-0.162389,0.431513,0.887370,50.00,False
-138.840802,10.739462,16.765573,-0.211706,0.493133,0.843801,50.00,False
-138.977102,11.086294,13.908164,-0.238966,0.562500,0.791511,50.00,False
-139.053813,11.902212,10.240227,-0.254308,0.776058,0.577115,50.00,False
-138.904196,12.595543,6.438957,-0.224385,0.914724,0.336052,50.00,False
-139.136823,12.791365,2.952603,-0.270910,0.949554,0.157973,50.00,False
-139.067700,13.081438,-1.129223,-0.257086,0.956311,-0.139201,50.00,False
-139.053129,12.725934,-5.003324,-0.254171,0.882897,-0.394830,50.00,False
-138.771844,12.164056,-8.654685,-0.197914,0.770521,-0.605910,50.00,False
-138.835608,11.537826,-12.071827,-0.210667,0.602074,-0.770147,50.00,False
-138.673022,11.082690,-15.021494,-0.178150,0.511046,-0.840889,50.00,False
-138.541507,10.437720,-17.970908,-0.151847,0.382052,-0.911580,50.00,False
-138.567100,9.757922,-20.791223,-0.156966,0.246093,-0.956452,50.00,False
-138.220838,13.359812,-18.165027,-0.087713,0.992253,0.087979,50.00,False
-133.363745,11.178861,-18.960852,0.883705,0.135485,0.448005,50.00,False
-141.238896,12.077824,-20.418549,-0.691325,0.256041,0.675657,50.00,False
-141.848983,13.356341,-24.249417,-0.813342,0.393334,0.428675,50.00,False
-142.093082,13.275341,-27.644802,-0.862162,0.429452,0.268790,50.00,False
